Angle:
0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0
Delta Time:
2.97589373588562,3.002769947052002,2.998324155807495,3.0004618167877197,2.998600482940674,2.9977316856384277,3.001889944076538,2.9976141452789307,2.9983279705047607,3.0013504028320312
